Date,US10Y_Yield,Apple_Yield,Apple_Spread,Microsoft_Yield,Microsoft_Spread,Alphabet_Yield,Alphabet_Spread,Amazon_Yield,Amazon_Spread,Nvidia_Yield,Nvidia_Spread,Meta_Yield,Meta_Spread,Tesla_Yield,Tesla_Spread,SpaceX_Yield,SpaceX_Spread,Oracle_Yield,Oracle_Spread,CoreWeave_Yield,CoreWeave_Spread,Nebius_Yield,Nebius_Spread,IREN_Yield,IREN_Spread,TSMC_Yield,TSMC_Spread
2026/7/10,4.56,4.464444444,-0.095555556,4.73375,0.17375,3.969565217,-0.590434783,4.217727273,-0.342272727,4.922,0.362,5.115555556,0.555555556,7.515,2.955,,,,,,,,,,,4.634,0.074
2026/7/13,4.54,4.497777778,-0.042222222,4.775,0.235,3.985217391,-0.554782609,4.24,-0.3,4.988,0.448,5.117777778,0.577777778,7.33,2.79,,,,,,,,,,,4.656,0.116
2026/7/14,4.56,4.572222222,0.012222222,4.8225,0.2625,4.038695652,-0.521304348,4.346086957,-0.213913043,5.076,0.516,5.207777778,0.647777778,7.33,2.77,,,,,,,,,,,4.672,0.112
2026/7/15,4.62,4.538888889,-0.081111111,4.84875,0.22875,4.022173913,-0.597826087,4.323043478,-0.296956522,5.034,0.414,5.185555556,0.565555556,7.33,2.71,,,,,,,,,,,4.7,0.08
2026/7/16,4.58,4.495555556,-0.084444444,4.80125,0.22125,4.027826087,-0.552173913,4.29173913,-0.28826087,4.96,0.38,5.127777778,0.547777778,,,,,,,,,,,,,4.684,0.104
2026/7/17,4.55,4.511111111,-0.038888889,4.80625,0.25625,4.033478261,-0.516521739,4.287826087,-0.262173913,4.936,0.386,5.107777778,0.557777778,,,,,,,,,,,,,4.694,0.144
2026/7/20,4.57,4.5,-0.07,4.79625,0.22625,4.027826087,-0.542173913,4.292608696,-0.277391304,4.972,0.402,5.087777778,0.517777778,,,,,,,,,,,,,4.69,0.12
2026/7/21,4.55,4.534444444,-0.015555556,4.84,0.29,4.05826087,-0.49173913,4.327391304,-0.222608696,5.016,0.466,5.172222222,0.622222222,,,,,,,,,,,,,4.7,0.15
2026/7/22,4.6,4.553333333,-0.046666667,4.9,0.3,4.091304348,-0.508695652,4.358695652,-0.241304348,5.026,0.426,5.208888889,0.608888889,,,6.046666667,1.446666667,6.6345,2.0345,,,,,,,4.724,0.124
2026/7/23,4.63,4.618888889,-0.011111111,4.9375,0.3075,4.116086957,-0.513913043,4.389130435,-0.240869565,5.096,0.466,5.27,0.64,,,6.22,1.59,6.706,2.076,,,,,,,4.728,0.098
2026/7/24,4.67,4.655555556,-0.014444444,5.02125,0.35125,4.202173913,-0.467826087,4.474782609,-0.195217391,5.168,0.498,5.372222222,0.702222222,,,6.305,1.635,6.8705,2.2005,,,,,,,4.818,0.148
