report_date,open_interest,long_positions,short_positions,net_positions
2026-02-03,409694,118936,26864,92072
2026-01-27,11365,0,0,0
2026-01-20,528004,163668,26224,137444
2026-01-13,72555,636,0,636
2026-01-06,68733,478,320,158
2025-12-30,481866,148642,22602,126040
2025-12-23,65212,681,0,681
2025-12-16,471093,152873,20277,132596
2025-12-09,54042,946,0,946
2025-12-02,51164,462,0,462
2025-11-25,44734,454,0,454
2025-11-18,471953,130222,32017,98205
2025-11-10,80918,721,0,721
2025-11-04,450399,130688,30143,100545
2025-10-28,457122,138605,34446,104159
2025-10-21,65693,210,0,210
2025-10-14,62468,648,0,648
2025-10-07,55692,1605,0,1605
2025-09-30,493748,184199,38972,145227
2025-09-23,528789,198826,38277,160549
2025-09-16,55899,1862,0,1862
2025-09-09,57444,2055,0,2055
2025-09-02,492908,196127,34625,161502
2025-08-26,443760,175494,33577,141917
2025-08-19,438541,173388,36003,137385
2025-08-12,44830,1473,207,1266
2025-08-05,449647,186304,32317,153987
2025-07-29,53658,1164,0,1164
2025-07-22,52999,1977,0,1977
2025-07-15,448531,172657,35930,136727
2025-07-08,48319,1588,520,1068
2025-07-01,437662,165086,34726,130360
2025-06-24,46420,1392,755,637
2025-06-17,44993,1099,1452,-353
2025-06-10,43741,816,861,-45
2025-06-03,39082,588,725,-137
2025-05-27,437538,147502,36686,110816
2025-05-20,48985,1174,318,856
2025-05-13,440842,144410,43183,101227
2025-05-06,452414,144383,42292,102091
2025-04-29,451868,150715,44820,105895
2025-04-22,46167,2487,0,2487
2025-04-15,38924,1712,0,1712
2025-04-08,37869,2133,0,2133
2025-04-01,38070,2266,0,2266
2025-03-25,511482,213505,38773,174732
2025-03-18,533566,220879,37045,183834
2025-03-11,511276,204907,37331,167576
2025-03-04,489270,204965,38307,166658
2025-02-25,34485,1891,226,1665
2025-02-18,33569,2114,0,2114
