report_date,open_interest,long_positions,short_positions,net_positions
2026-02-03,143180,13189,8206,4983
2026-01-27,156637,19423,11724,7699
2026-01-20,152020,20613,10667,9946
2026-01-13,151513,22800,9008,13792
2026-01-06,153240,26978,11156,15822
2025-12-30,157391,29100,15092,14008
2025-12-23,155710,35026,13418,21608
2025-12-16,152921,36424,14537,21887
2025-12-09,154762,39798,14023,25775
2025-12-02,150832,34765,15791,18974
2025-11-25,144541,32630,13569,19061
2025-11-18,153295,33544,13310,20234
2025-11-10,159649,35613,12958,22655
2025-11-04,155257,33478,14321,19157
2025-10-28,158187,34227,12328,21899
2025-10-21,169418,33198,15986,17212
2025-10-14,172415,39304,16266,23038
2025-10-07,166474,43186,15693,27493
2025-09-30,163837,49827,14906,34921
2025-09-23,165805,51225,14126,37099
2025-09-16,162954,51259,15453,35806
2025-09-09,156703,49390,13535,35855
2025-09-02,158368,51293,12523,38770
2025-08-26,158630,48499,15528,32971
2025-08-19,158477,44397,16351,28046
2025-08-12,156432,43854,16574,27280
2025-08-05,161262,45934,16111,29823
2025-07-29,170329,57762,14738,43024
2025-07-22,173679,60294,16280,44014
2025-07-15,171474,59766,16560,43206
2025-07-08,162803,58991,16235,42756
2025-07-01,163567,59228,14301,44927
2025-06-24,174613,58906,13795,45111
2025-06-17,184831,62692,13827,48865
2025-06-10,174281,59581,11648,47933
2025-06-03,163347,58645,13812,44833
2025-05-27,147555,48645,15433,33212
2025-05-20,141451,45696,15251,30445
2025-05-13,138262,43522,15189,28333
2025-05-06,140261,43606,13724,29882
2025-04-29,152669,42324,11586,30738
2025-04-22,146923,36905,11014,25891
2025-04-15,144400,35877,12325,23552
2025-04-08,154289,35544,12859,22685
2025-04-01,170197,58008,16989,41019
2025-03-25,169628,59841,14449,45392
2025-03-18,170566,62742,13254,49488
2025-03-11,155263,54740,12763,41977
2025-03-04,145935,47878,13780,34098
2025-02-25,163681,51338,18399,32939
2025-02-18,170107,58305,19999,38306
