report_date,open_interest,long_positions,short_positions,net_positions
2026-02-03,1928476,1118819,185593,933226
2026-01-27,1897461,1103294,191666,911628
2026-01-20,1926910,1099843,207449,892394
2026-01-13,1909351,1138244,206944,931300
2026-01-06,1945513,1174764,213425,961339
2025-12-30,1936495,1167836,225868,941968
2025-12-23,1911017,1150865,213962,936903
2025-12-16,2466313,1167573,198088,969485
2025-12-09,2141031,1168070,207545,960525
2025-12-02,2074887,1155848,215351,940497
2025-11-25,2070962,1131923,226629,905294
2025-11-18,2037320,1130593,218542,912051
2025-11-10,1981117,1127096,223770,903326
2025-11-04,1956133,1121671,221014,900657
2025-10-28,1929734,1132353,225556,906797
2025-10-21,1882544,1115602,212867,902735
2025-10-14,1929048,1131293,209390,921903
2025-10-07,1951558,1159218,210113,949105
2025-09-30,1942253,1154937,219143,935794
2025-09-23,1950977,1153356,239804,913552
2025-09-16,2435899,1160211,263911,896300
2025-09-09,2035158,1149395,261973,887422
2025-09-02,1997661,1123696,262868,860828
2025-08-26,2018365,1134644,263364,871280
2025-08-19,1974585,1142641,272049,870592
2025-08-12,1967857,1152260,265901,886359
2025-08-05,1909338,1103259,254278,848981
2025-07-29,1941931,1111564,238980,872584
2025-07-22,1917043,1093090,240822,852268
2025-07-15,1935859,1097986,231667,866319
2025-07-08,1899046,1102127,238590,863537
2025-07-01,1887354,1095229,255081,840148
2025-06-24,1886352,1064574,223328,841246
2025-06-17,2450146,1085040,238330,846710
2025-06-10,2223909,1088561,262430,826131
2025-06-03,2123862,1083338,269654,813684
2025-05-27,2112166,1121735,265658,856077
2025-05-20,2113668,1123523,250081,873442
2025-05-13,2125890,1112757,256679,856078
2025-05-06,2133652,1099297,283135,816162
2025-04-29,2134084,1109378,279977,829401
2025-04-22,2209656,1117162,304043,813119
2025-04-15,2181908,1087907,276607,811300
2025-04-08,2332802,1086748,273583,813165
2025-04-01,2111750,1092161,206681,885480
2025-03-25,2074351,1117841,202515,915326
2025-03-18,2560662,1068185,236328,831857
2025-03-11,2282648,1094727,247942,846785
2025-03-04,2180944,1118800,207296,911504
2025-02-25,2126872,1130093,208953,921140
2025-02-18,2120653,1136814,185795,951019
