Date,JP10Y
1986-07-05,5.1
1986-07-07,5.09
1986-07-08,5.12
1986-07-09,5.14
1986-07-10,5.15
1986-07-11,5.22
1986-07-14,5.2
1986-07-15,5.19
1986-07-16,5.22
1986-07-17,5.24
1986-07-18,5.23
1986-07-19,5.21
1986-07-21,5.25
1986-07-22,5.25
1986-07-23,5.26
1986-07-24,5.24
1986-07-25,5.19
1986-07-26,5.21
1986-07-28,5.21
1986-07-29,5.21
1986-07-30,5.2
1986-07-31,5.2
1986-08-01,5.2
1986-08-02,5.18
1986-08-04,5.19
1986-08-05,5.14
1986-08-06,5.18
1986-08-07,5.13
1986-08-08,5.14
1986-08-11,5.08
1986-08-12,5.08
1986-08-13,5.08
1986-08-14,5.1
1986-08-15,5.09
1986-08-18,5.09
1986-08-19,5.1
1986-08-20,5.1
1986-08-21,5.07
1986-08-22,5.09
1986-08-23,5.08
1986-08-25,5.09
1986-08-26,5.09
1986-08-27,5.1
1986-08-28,5.12
1986-08-29,5.12
1986-08-30,5.12
1986-09-01,5.23
1986-09-02,5.25
1986-09-03,5.32
1986-09-04,5.3
1986-09-05,5.3
1986-09-06,5.42
1986-09-08,5.39
1986-09-09,5.39
1986-09-10,5.39
1986-09-11,5.43
1986-09-12,5.52
1986-09-16,5.56
1986-09-17,5.58
1986-09-18,5.56
1986-09-19,5.5
1986-09-22,5.55
1986-09-24,5.53
1986-09-25,5.53
1986-09-26,5.57
1986-09-27,5.56
1986-09-29,5.61
1986-09-30,5.64
1986-10-01,5.63
1986-10-02,5.58
1986-10-03,5.6
1986-10-04,5.61
1986-10-06,5.59
1986-10-07,5.61
1986-10-08,5.6
1986-10-09,5.62
1986-10-13,5.68
1986-10-14,5.65
1986-10-15,5.69
1986-10-16,5.71
1986-10-17,5.76
1986-10-20,5.88
1986-10-21,5.88
1986-10-22,5.9
1986-10-23,5.77
1986-10-24,5.79
1986-10-25,5.76
1986-10-27,5.77
1986-10-28,5.75
1986-10-29,5.74
1986-10-30,5.54
1986-10-31,5.7
1986-11-01,5.67
1986-11-04,5.65
1986-11-05,5.62
1986-11-06,5.6
1986-11-07,5.64
1986-11-10,5.68
1986-11-11,5.69
1986-11-12,5.67
1986-11-13,5.65
1986-11-14,5.65
1986-11-17,5.65
1986-11-18,5.62
1986-11-19,5.62
1986-11-20,5.58
1986-11-21,5.6
1986-11-22,5.59
1986-11-25,5.59
1986-11-26,5.59
1986-11-27,5.56
1986-11-28,5.51
1986-11-29,5.49
1986-12-01,5.43
1986-12-02,5.43
1986-12-03,5.4
1986-12-04,5.37
1986-12-05,5.34
1986-12-06,5.36
1986-12-08,5.37
1986-12-09,5.37
1986-12-10,5.36
1986-12-11,5.39
1986-12-12,5.4
1986-12-15,5.45
1986-12-16,5.43
1986-12-17,5.39
1986-12-18,5.38
1986-12-19,5.37
1986-12-22,5.37
1986-12-23,5.37
1986-12-24,5.36
1986-12-25,5.35
1986-12-26,5.36
1986-12-27,5.36
1987-01-05,5.29
1987-01-06,5.28
1987-01-07,5.25
1987-01-08,5.23
1987-01-09,5.21
1987-01-12,5.21
1987-01-13,5.22
1987-01-14,5.22
1987-01-16,5.2
1987-01-19,5.2
1987-01-20,5.19
1987-01-21,5.24
1987-01-22,5.21
1987-01-23,5.21
1987-01-24,5.19
1987-01-26,5.19
1987-01-27,5.19
1987-01-28,5.13
1987-01-29,5.1
1987-01-30,5.17
1987-01-31,5.15
1987-02-02,5.14
1987-02-03,5.17
1987-02-04,5.12
1987-02-05,5.12
1987-02-06,5.14
1987-02-07,5.15
1987-02-09,5.13
1987-02-10,5.17
1987-02-12,5.18
1987-02-13,5.25
1987-02-16,5.29
1987-02-17,5.29
1987-02-18,5.28
1987-02-19,5.21
1987-02-20,5.15
1987-02-23,5.16
1987-02-24,5.16
1987-02-25,5.17
1987-02-26,5.17
1987-02-27,5.19
1987-02-28,5.09
1987-03-02,4.94
1987-03-03,4.91
1987-03-04,4.92
1987-03-05,4.91
1987-03-06,4.9
1987-03-07,4.9
1987-03-09,4.87
1987-03-10,4.87
1987-03-11,4.76
1987-03-12,4.72
1987-03-13,4.71
1987-03-16,4.61
1987-03-17,4.6
1987-03-18,4.61
1987-03-19,4.59
1987-03-20,4.56
1987-03-23,4.54
