Date,Margin,Short
2019-01-02,7394954.0,590252.0
2019-01-03,7359773.0,590814.0
2019-01-04,7279580.0,576709.0
2019-01-07,7297059.0,560324.0
2019-01-08,7299390.0,558853.0
2019-01-09,7243011.0,551994.0
2019-01-10,7250085.0,550021.0
2019-01-11,7238540.0,551222.0
2019-01-14,7284438.0,555440.0
2019-01-15,7257295.0,568297.0
2019-01-16,7235452.0,559353.0
2019-01-17,7211463.0,562280.0
2019-01-18,7184486.0,570383.0
2019-01-21,7150792.0,574392.0
2019-01-22,7165934.0,571399.0
2019-01-23,7117470.0,567255.0
2019-01-24,7105684.0,553739.0
2019-01-25,7032123.0,549596.0
2019-01-28,7002004.0,534021.0
2019-01-29,6962136.0,509656.0
2019-01-30,6853342.0,500894.0
2019-02-11,6819601.0,537433.0
2019-02-12,6916041.0,554043.0
2019-02-13,6952722.0,536713.0
2019-02-14,6942348.0,530044.0
2019-02-15,6963656.0,519962.0
2019-02-18,6980925.0,531668.0
2019-02-19,6996155.0,543557.0
2019-02-20,7040101.0,549753.0
2019-02-21,7075996.0,562604.0
2019-02-22,7104296.0,536243.0
2019-02-25,7019393.0,556733.0
2019-02-26,7007986.0,561087.0
2019-02-27,7025442.0,558819.0
2019-03-04,7059919.0,597049.0
2019-03-05,7131247.0,585502.0
2019-03-06,7125917.0,587879.0
2019-03-07,7092405.0,585205.0
2019-03-08,7081796.0,564443.0
2019-03-11,7111803.0,563475.0
2019-03-12,7145813.0,589948.0
2019-03-13,7180775.0,615764.0
2019-03-14,7185305.0,625387.0
2019-03-15,7191596.0,630761.0
2019-03-18,7177296.0,644242.0
2019-03-19,7196120.0,630672.0
2019-03-20,7244460.0,633493.0
2019-03-21,7284007.0,637051.0
2019-03-22,7298311.0,617894.0
2019-03-25,7269981.0,600196.0
2019-03-26,7308345.0,573728.0
2019-03-27,7366462.0,580255.0
2019-03-28,7353589.0,577309.0
2019-03-29,7327662.0,573002.0
2019-04-01,7327981.0,573691.0
2019-04-02,7339077.0,570209.0
2019-04-03,7329775.0,572778.0
2019-04-08,7349749.0,569850.0
2019-04-09,7290854.0,544024.0
2019-04-10,7296108.0,412090.0
2019-04-11,7354771.0,400640.0
2019-04-12,7379346.0,426337.0
2019-04-15,7427179.0,488516.0
2019-04-16,7427446.0,531311.0
2019-04-17,7476175.0,573911.0
2019-04-18,7460994.0,618341.0
2019-04-19,7483245.0,656379.0
2019-04-22,7544665.0,662315.0
2019-04-23,7530983.0,693449.0
2019-04-24,7551059.0,704808.0
2019-04-25,7568871.0,709485.0
2019-04-26,7521183.0,700993.0
2019-04-29,7447630.0,697763.0
2019-04-30,7458421.0,704827.0
2019-05-02,7469932.0,664957.0
2019-05-03,7478714.0,633830.0
2019-05-06,7337217.0,496639.0
2019-05-07,7330908.0,472271.0
2019-05-08,7256332.0,369359.0
2019-05-09,7186840.0,346895.0
2019-05-10,7115759.0,353296.0
2019-05-13,7075639.0,339015.0
2019-05-14,6994908.0,325591.0
2019-05-15,7012074.0,335954.0
2019-05-16,7048899.0,351696.0
2019-05-17,7088173.0,357804.0
2019-05-20,7082215.0,357894.0
2019-05-21,7044224.0,350103.0
2019-05-22,7070849.0,360318.0
2019-05-23,7099884.0,360219.0
2019-05-24,7086508.0,356878.0
2019-05-27,7101459.0,364118.0
2019-05-28,7063654.0,376481.0
2019-05-29,7068113.0,368350.0
2019-05-30,7095137.0,362217.0
2019-05-31,7052940.0,360663.0
2019-06-03,7078383.0,377062.0
2019-06-04,7090466.0,378435.0
2019-06-05,7099685.0,379961.0
2019-06-06,7126284.0,382162.0
2019-06-10,7098995.0,383970.0
2019-06-11,7080664.0,386451.0
2019-06-12,7108271.0,376419.0
2019-06-13,7143052.0,389582.0
2019-06-14,7137297.0,384068.0
2019-06-17,7167978.0,377297.0
2019-06-18,7158342.0,389155.0
2019-06-19,7119979.0,390429.0
2019-06-20,7131020.0,433756.0
2019-06-21,7135871.0,443038.0
2019-06-24,7131933.0,457828.0
2019-06-25,7177275.0,447517.0
2019-06-26,7155251.0,450785.0
2019-06-27,7120966.0,456823.0
2019-06-28,7155286.0,464896.0
2019-07-01,7129550.0,517449.0
2019-07-02,7172027.0,560717.0
2019-07-03,7197922.0,604232.0
2019-07-04,7250291.0,625672.0
2019-07-05,7242283.0,638156.0
2019-07-08,7298128.0,639263.0
2019-07-09,7311161.0,651129.0
2019-07-10,7334093.0,659128.0
2019-07-11,7321767.0,666976.0
2019-07-12,7346657.0,678208.0
2019-07-15,7363033.0,688627.0
2019-07-16,7361077.0,692097.0
2019-07-17,7378478.0,702405.0
2019-07-18,7412569.0,711260.0
2019-07-19,7418667.0,722976.0
2019-07-22,7442183.0,731717.0
2019-07-23,7485472.0,731013.0
2019-07-24,7444144.0,713745.0
2019-07-25,7471269.0,726906.0
2019-07-26,7456307.0,737097.0
2019-07-29,7461610.0,738343.0
2019-07-30,7384527.0,732519.0
2019-07-31,7416665.0,730780.0
2019-08-01,7451801.0,711134.0
2019-08-02,7356242.0,648570.0
2019-08-05,7288657.0,588180.0
2019-08-06,7096101.0,511520.0
2019-08-07,7147816.0,454864.0
2019-08-08,7165389.0,444177.0
2019-08-12,7173681.0,441999.0
2019-08-13,7167139.0,421628.0
2019-08-14,7178014.0,428810.0
2019-08-15,7083734.0,438463.0
2019-08-16,7087471.0,443812.0
2019-08-19,7122797.0,446594.0
2019-08-20,7157130.0,459094.0
2019-08-21,7205382.0,489364.0
2019-08-22,7247751.0,498806.0
2019-08-23,7251829.0,492964.0
2019-08-26,7215906.0,444623.0
2019-08-27,7237397.0,449895.0
