date,gex,basis,cot_crowding_score
2011-05-02,1897312571.486,,
2011-05-03,1859730656.13,,
2011-05-04,1717763844.535,,
2011-05-05,1361864280.275,,
2011-05-06,1490328625.98,,
2011-05-09,1677058729.04,,
2011-05-10,2034952130.69,,
2011-05-11,1536770884.92,,
2011-05-12,1674923266.095,,
2011-05-13,1218149461.54,,
2011-05-16,779596412.269,,
2011-05-17,841850592.0,,
2011-05-18,1366160182.325,,
2011-05-19,1543685364.78,,
2011-05-20,1288076423.565,,
2011-05-23,539696742.805,,
2011-05-24,510244377.512,,
2011-05-25,740695062.903,,
2011-05-26,794680724.93,,
2011-05-27,918664965.16,,
2011-05-31,1501018826.775,,
2011-06-01,765472910.6735,,
2011-06-02,737054457.098,,
2011-06-03,405956517.902,,
2011-06-06,24119666.104,,
2011-06-07,-172403089.14,,
2011-06-08,-285916518.02,,
2011-06-09,-110999211.335,,
2011-06-10,-459227978.2,,
2011-06-13,-449818392.34,,
2011-06-14,97844618.176,,
2011-06-15,-618829105.244,,
2011-06-16,-643026779.91,,
2011-06-17,-444255510.62,,
2011-06-20,130641736.1,,
2011-06-21,594237200.535,,
2011-06-22,421966023.175,,
2011-06-23,673524372.871,,
2011-06-24,197912878.19,,
2011-06-27,533994908.78,,
2011-06-28,1000303669.785,,
2011-06-29,1263240916.7,,
2011-06-30,1731119949.93,,
2011-07-01,2019895206.727,,
2011-07-05,2204693723.48,,
2011-07-06,2236776776.815,,
2011-07-07,2729301387.395,,
2011-07-08,2490173790.3,,
2011-07-11,1737340522.96,,
2011-07-12,1533836324.39,,
2011-07-13,1957650368.7,,
2011-07-14,1650214262.91,,
2011-07-15,4176336442.145,,
2011-07-18,887183380.03,,
2011-07-19,1304589932.604,,
2011-07-20,1549113896.345,,
2011-07-21,1763114024.43,,
2011-07-22,1635847483.62,,
2011-07-25,1594831932.2,,
2011-07-26,1541061094.85,,
2011-07-27,839162001.791,,
2011-07-28,727984032.625,,
2011-07-29,634859900.982,,
2011-08-01,645133919.365,,
2011-08-02,54369376.39,,
2011-08-03,224930307.485,,
2011-08-04,-660360325.525,,
2011-08-05,-463212353.06,,
2011-08-08,-802754541.06,,
2011-08-09,-374593397.965,,
2011-08-10,-759558784.65,,
2011-08-11,-264886917.49,,
2011-08-12,-309018593.5,,
2011-08-15,-23047118.8,,
2011-08-16,-225224022.635,,
2011-08-17,-251705740.24,,
2011-08-18,-836496736.477,,
2011-08-19,-1187036923.04,,
2011-08-22,-361898319.395,,
2011-08-23,54580971.029,,
2011-08-24,205415735.89,,
2011-08-25,2799983.66,,
2011-08-26,137694130.06,,
2011-08-29,561222253.075,,
2011-08-30,635378251.37,,
2011-08-31,605715448.21,,
2011-09-01,320553022.015,,
2011-09-02,-15399260.06,,
2011-09-06,-974825.71,,
2011-09-07,424298106.06,,
2011-09-08,294110267.97,,
2011-09-09,-164918292.18,,
2011-09-12,-55401539.495,,
2011-09-13,180810962.235,,
2011-09-14,516499239.945,,
2011-09-15,924224780.45,,
2011-09-16,1627867629.87,,
2011-09-19,819791724.4,,
2011-09-20,864559001.335,,
2011-09-21,480322758.3475,,
2011-09-22,42688858.26,,
2011-09-23,246153269.08,,
2011-09-26,415707524.78,,
2011-09-27,506709646.22,,
2011-09-28,303390928.735,,
2011-09-29,253516385.72,,
2011-09-30,11640191.37,,
2011-10-03,-220425308.05,,
2011-10-04,-85366095.48,,
2011-10-05,168193569.305,,
2011-10-06,401723210.3,,
2011-10-07,219498636.09,,
2011-10-10,931951102.5,,
2011-10-11,1128800514.22,,
2011-10-12,1326485541.79,,
2011-10-13,1378016375.56,,
2011-10-14,1783365970.815,,
2011-10-17,1329837843.145,,
2011-10-18,1784730871.87,,
2011-10-19,1070550490.37,,
2011-10-20,1012832467.62,,
2011-10-21,2347473742.665,,
2011-10-24,1158879374.01,,
2011-10-25,799720648.24,,
2011-10-26,1009327344.9,,
2011-10-27,1688101729.155,,
2011-10-28,1581690425.99,,
2011-10-31,1171656476.7225,,
2011-11-01,562856339.765,,
2011-11-02,851141787.75,,
2011-11-03,1438676101.57,,
2011-11-04,1145431786.04,,
2011-11-07,1329564467.925,,
2011-11-08,1807110771.76,,
2011-11-09,615504956.04,,
2011-11-10,665815678.86,,
2011-11-11,1253845090.32,,
2011-11-14,1051690215.8,,
2011-11-15,1337630467.61,,
2011-11-16,745624770.7,,
2011-11-17,164520103.46,,
2011-11-18,-948429186.88,,
2011-11-21,70720556.43,,
2011-11-22,156201703.19,,
2011-11-23,-252170842.505,,
2011-11-25,-206203569.726,,
2011-11-28,250687378.93,,
2011-11-29,260318977.45,,
2011-11-30,1219948969.56,,
2011-12-01,1310091659.13,,
2011-12-02,1122010987.83,,
2011-12-05,1407537501.28,,
2011-12-06,1385127223.45,,
2011-12-07,1400280640.44,,
2011-12-08,927913416.175,,
2011-12-09,1452367339.46,,
2011-12-12,1022002330.37,,
2011-12-13,707628338.14,,
2011-12-14,182965155.94,,
2011-12-15,181227650.24,,
2011-12-16,809948927.71,,
2011-12-19,547980483.46,,
2011-12-20,1244950458.98,,
2011-12-21,1417896318.435,,
2011-12-22,1681798897.91,,
2011-12-23,1667860364.81,,
2011-12-27,1823359677.951,,
2011-12-28,1420172303.82,,
2011-12-29,1770650321.16,,
2011-12-30,1555835281.4,,
2012-01-03,2013937733.195,,
2012-01-04,2149477635.055,,
2012-01-05,2291122803.43,,
2012-01-06,2050336451.665,,
2012-01-09,2099565269.94,,
2012-01-10,2365634573.45,,
2012-01-11,2328042129.925,,
2012-01-12,2400086674.76,,
2012-01-13,2244354574.715,,
2012-01-17,2487898291.555,,
2012-01-18,2789240578.535,,
2012-01-19,3020604554.37,,
2012-01-20,5358379989.88,,
2012-01-23,1360477009.765,,
2012-01-24,1326643587.175,,
2012-01-25,2073559881.87,,
2012-01-26,1847055849.704,,
2012-01-27,1579086753.47,,
2012-01-30,1685941157.15,,
2012-01-31,1788588311.115,,
2012-02-01,1942692934.85,,
2012-02-02,1988290985.915,,
2012-02-03,2256784983.965,,
2012-02-06,2380094744.83,,
2012-02-07,2555741484.73,,
2012-02-08,2676630480.725,,
2012-02-09,2606671502.18,,
2012-02-10,2166027616.655,,
2012-02-13,2383096276.235,,
2012-02-14,2375689235.795,,
2012-02-15,1946328756.07,,
2012-02-16,2403205900.545,,
2012-02-17,3963263035.535,,
2012-02-21,1836440939.76,,
2012-02-22,1847991718.36,,
2012-02-23,2178450927.96,,
2012-02-24,2048066403.52,,
2012-02-27,2143096788.985,,
2012-02-28,2489017760.76,,
2012-02-29,2279679893.755,,
2012-03-01,2532165991.006,,
2012-03-02,2193723806.99,,
2012-03-05,1968104281.68,,
2012-03-06,1367268859.29,,
2012-03-07,1663036074.54,,
2012-03-08,2461000862.105,,
2012-03-09,2422366519.13,,
2012-03-12,2739084139.735,,
2012-03-13,3390409713.37,,
2012-03-14,3256845974.575,,
2012-03-15,3404727488.605,,
2012-03-16,4959128416.75,,
2012-03-19,2249543026.64,,
2012-03-20,2383750779.645,,
2012-03-21,2385713488.325,,
2012-03-22,2059240156.475,,
2012-03-23,1992954217.995,,
2012-03-26,2620114918.87,,
2012-03-27,2803205760.135,,
2012-03-28,2649575364.665,,
2012-03-29,2332339630.455,,
2012-03-30,2282703675.57,,
2012-04-02,2916921422.275,,
2012-04-03,3033797132.77,,
2012-04-04,2606570751.961,,
2012-04-05,2336089426.405,,
2012-04-09,2115169226.59,,
2012-04-10,1368222030.0366,,
2012-04-11,1462342360.705,,
2012-04-12,1958043308.605,,
2012-04-13,1337731244.64,,
2012-04-16,1028359493.695,,
2012-04-17,2233741866.255,,
2012-04-18,2120779337.025,,
2012-04-19,1245238435.31,,
2012-04-20,1706147508.0,,
2012-04-23,888535953.586,,
2012-04-24,913083815.47,,
2012-04-25,2110801540.895,,
2012-04-26,2269777815.02,,
2012-04-27,1934055831.605,,
2012-04-30,1624605078.63,,
2012-05-01,1751590437.53,,
2012-05-02,1795486806.025,,
2012-05-03,1326585749.03,,
2012-05-04,850668974.658,,
2012-05-07,902222296.434,,
2012-05-08,710820417.25,,
2012-05-09,568596382.95,,
2012-05-10,631565006.1,,
2012-05-11,555886856.24,,
2012-05-14,89135534.315,,
2012-05-15,-125631970.04,,
2012-05-16,-417011821.931,,
2012-05-17,-846538042.94,,
2012-05-18,-672969511.129,,
2012-05-21,499777733.47,,
2012-05-22,552166197.174,,
2012-05-23,786423702.09,,
2012-05-24,756275096.21,,
2012-05-25,522648606.24,,
2012-05-29,893471034.94,,
2012-05-30,739225067.865,,
2012-05-31,705360324.21,,
2012-06-01,3285451.832,,
2012-06-04,112625048.24,,
2012-06-05,227443359.23,,
2012-06-06,917404043.83,,
2012-06-07,911195352.79,,
2012-06-08,1092349771.59,,
2012-06-11,600860582.815,,
2012-06-12,1002291726.758,,
2012-06-13,621053228.695,,
2012-06-14,853414513.46,,
2012-06-15,1585847554.79,,
2012-06-18,1378484206.48,,
2012-06-19,1699864260.63,,
2012-06-20,1642282374.015,,
2012-06-21,815506214.8,,
2012-06-22,1173714562.315,,
2012-06-25,733649453.56,,
2012-06-26,909516188.36,,
2012-06-27,1115174392.0,,
2012-06-28,812546271.47,,
2012-06-29,1807855816.16,,
2012-07-02,2077705971.875,,
2012-07-03,2456658030.524,,
2012-07-05,2473469808.34,,
2012-07-06,1796281206.73,,
2012-07-09,1985662005.34,,
2012-07-10,1586232703.46,,
2012-07-11,1449572893.14,,
2012-07-12,1098347662.44,,
2012-07-13,2028145542.891,,
2012-07-16,2062023143.83,,
2012-07-17,2418730699.45,,
2012-07-18,2553132550.353,,
2012-07-19,3097865785.235,,
2012-07-20,1379986328.23,,
2012-07-23,0.0,,
2012-07-24,983971321.815,,
2012-07-25,553912048.545,,
2012-07-26,1114339575.945,,
2012-07-27,1817831830.045,,
2012-07-30,2068297482.82,,
2012-07-31,2210392334.245,,
2012-08-01,1938954422.884,,
2012-08-02,1726903124.535,,
2012-08-03,2366858965.65,,
2012-08-06,2600155257.21,,
2012-08-07,2868172571.576,,
2012-08-08,2724860533.47,,
2012-08-09,2589509365.99,,
2012-08-10,2574028859.179,,
2012-08-13,2715897940.4,,
2012-08-14,2876834423.665,,
2012-08-15,2773023612.038,,
2012-08-16,3426865148.357,,
2012-08-17,4028299817.1,,
2012-08-20,2348409048.235,,
2012-08-21,2116768542.724,,
2012-08-22,2470160727.875,,
2012-08-23,2093397740.358,,
2012-08-24,2162075949.422,,
2012-08-27,2402914523.68,,
2012-08-28,2444897531.4,,
2012-08-29,2450773598.506,,
2012-08-30,1713438838.959,,
2012-08-31,2159856180.695,,
2012-09-04,2366329794.745,,
2012-09-05,2184889898.11,,
2012-09-06,3383251558.3345,,
2012-09-07,3213127405.495,,
2012-09-10,2688557354.315,,
2012-09-11,2751129283.757,,
2012-09-12,3143426308.94,,
2012-09-13,4501792814.7428,,
2012-09-14,4079191869.175,,
2012-09-17,4194673586.877,,
2012-09-18,4348508721.73,,
2012-09-19,4606321234.697,,
2012-09-20,4242811907.3808,,
2012-09-21,8992652051.085,,
2012-09-24,2637542456.414,,
2012-09-25,1826144997.7504,,
2012-09-26,1336101729.165,,
2012-09-27,2572778273.565,,
2012-09-28,2174491589.2378,,
2012-10-01,2058078578.339,,
2012-10-02,2019845362.51,,
2012-10-03,2751403325.215,,
2012-10-04,2875956470.0798,,
2012-10-05,2276244806.57,,
2012-10-08,1914155683.126,,
2012-10-09,1529584844.7579,,
2012-10-10,1585118597.933,,
2012-10-11,1166712068.71,,
2012-10-12,1366428443.0543,,
2012-10-15,1799022345.4874,,
2012-10-16,2792940189.3425,,
2012-10-17,2882740927.8922,,
2012-10-18,2166631598.3594,,
2012-10-19,-1220488012.9584,,
2012-10-22,1365092476.62,,
2012-10-23,856531693.2434,,
2012-10-24,827957147.2866,,
2012-10-25,887952897.582,,
2012-10-26,869165396.35,,
2012-10-31,787647145.9496,,
2012-11-01,1278333550.7926,,
2012-11-02,745669691.5821,,
2012-11-05,937015288.1214,,
2012-11-06,1282215427.8178,,
2012-11-07,-61573416.8004,,
2012-11-08,-640365600.9792,,
2012-11-09,-183459819.09,,
2012-11-12,-161566654.388,,
2012-11-13,-326649444.64,,
2012-11-14,-896279282.6408,,
2012-11-15,-1064663260.4975,,
2012-11-16,-902628346.3255,,
2012-11-19,833108848.463,,
2012-11-20,936082158.6651,,
2012-11-21,1074233864.96,,
2012-11-23,1285954948.762,,
2012-11-26,1489869808.622,,
2012-11-27,1195461959.2076,,
2012-11-28,1458462713.58,,
2012-11-29,1966128578.08,,
2012-11-30,1462041482.835,,
2012-12-03,1319254401.0254,,
2012-12-04,987939253.4356,,
2012-12-05,619549268.3389,,
2012-12-06,863020317.6577,,
2012-12-07,999761409.5661,,
2012-12-10,962073907.995,,
2012-12-11,1410736639.0444,,
2012-12-12,1379685819.5098,,
