Date,Adv,Dec,NH,NL
2005-01-01,,,128.0,2.0
2005-02-01,,,207.0,9.0
2005-03-01,,,33.0,12.0
2005-04-01,,,32.0,66.0
2005-05-01,,,96.0,8.0
2005-06-01,,,111.0,11.0
2005-07-01,,,233.0,3.0
2005-08-01,,,133.0,13.0
2005-09-01,,,139.0,11.0
2005-10-01,,,74.0,9.0
2005-11-01,,,80.0,12.0
2005-12-01,,,17.0,15.0
2006-01-01,,,197.0,14.0
2006-02-01,,,57.0,10.0
2006-03-01,,,124.0,2.0
2006-04-01,,,111.0,10.0
2006-05-01,,,26.0,24.0
2006-06-01,,,75.0,17.0
2006-07-01,,,49.0,21.0
2006-08-01,,,128.0,4.0
2006-09-01,,,66.0,3.0
2006-10-01,,,125.0,7.0
2006-11-01,,,162.0,3.0
2006-12-01,,,73.0,2.0
2007-01-01,,,178.0,4.0
2007-02-01,,,21.0,6.0
2007-03-01,,,102.0,6.0
2007-04-01,,,131.0,12.0
2007-05-01,,,275.0,5.0
2007-06-01,,,90.0,16.0
2007-07-01,,,15.0,85.0
2007-08-01,,,22.0,4.0
2007-09-01,,,118.0,19.0
2007-10-01,,,158.0,23.0
2007-11-01,,,56.0,21.0
2007-12-01,,,22.0,90.0
2008-01-01,,,14.0,27.0
2008-02-01,,,15.0,81.0
2008-03-01,,,5.0,25.0
2008-04-01,,,41.0,16.0
2008-05-01,,,53.0,13.0
2008-06-01,,,48.0,235.0
2008-07-01,,,27.0,27.0
2008-08-01,,,19.0,9.0
2008-09-01,,,6.0,96.0
2008-10-01,,,2.0,37.0
2008-11-01,,,5.0,12.0
2008-12-01,,,9.0,5.0
2009-01-01,,,4.0,73.0
2009-02-01,,,2.0,268.0
2009-03-01,,,6.0,6.0
2009-04-01,,,8.0,2.0
2009-05-01,,,12.0,2.0
2009-06-01,,,19.0,2.0
2009-07-01,,,43.0,2.0
2009-08-01,,,15.0,2.0
2009-09-01,,,83.0,1.0
2009-10-01,,,21.0,5.0
2009-11-01,,,44.0,8.0
2009-12-01,,,111.0,1.0
2010-01-01,,,28.0,5.0
2010-02-01,,,103.0,2.0
2010-03-01,,,133.0,2.0
2010-04-01,,,269.0,3.0
2010-05-01,,,15.0,4.0
2010-06-01,,,9.0,70.0
2010-07-01,,,30.0,17.0
2010-08-01,,,26.0,86.0
2010-09-01,,,185.0,4.0
2010-10-01,,,121.0,8.0
2010-11-01,,,69.0,15.0
2010-12-01,,,111.0,1.0
2011-01-01,,,112.0,12.0
2011-02-01,,,242.0,7.0
2011-03-01,,,225.0,9.0
2011-04-01,,,297.0,9.0
2011-05-01,,,162.0,8.0
2011-06-01,,,109.0,11.0
2011-07-01,,,10.0,100.0
2011-08-01,,,39.0,4.0
2011-09-01,,,10.0,205.0
2011-10-01,,,36.0,5.0
2011-11-01,,,56.0,11.0
2011-12-01,,,54.0,16.0
2012-01-01,,,52.0,10.0
2012-02-01,,,90.0,11.0
2012-03-01,,,87.0,10.0
2012-04-01,,,64.0,12.0
2012-05-01,,,24.0,106.0
2012-06-01,,,135.0,6.0
2012-07-01,,,76.0,24.0
2012-08-01,,,49.0,17.0
2012-09-01,,,43.0,5.0
2012-10-01,,,77.0,37.0
2012-11-01,,,82.0,8.0
2012-12-01,,,87.0,17.0
2013-01-01,,,159.0,9.0
2013-02-01,,,177.0,21.0
2013-03-01,,,304.0,6.0
2013-04-01,,,226.0,8.0
2013-05-01,,,81.0,15.0
2013-06-01,,,80.0,16.0
2013-07-01,,,188.0,16.0
2013-08-01,,,14.0,31.0
2013-09-01,,,67.0,14.0
2013-10-01,,,132.0,13.0
2013-11-01,,,197.0,10.0
2013-12-01,,,230.0,2.0
2014-01-01,,,41.0,57.0
2014-02-01,,,190.0,14.0
2014-03-01,,,115.0,4.0
2014-04-01,,,81.0,27.0
2014-05-01,,,119.0,22.0
2014-06-01,,,175.0,3.0
2014-07-01,,,21.0,67.0
2014-08-01,,,115.0,10.0
2014-09-01,,,19.0,156.0
2014-10-01,,,285.0,47.0
2014-11-01,,,248.0,135.0
2014-12-01,,,123.0,22.0
2015-01-01,,,35.0,99.0
2015-02-01,,,78.0,26.0
2015-03-01,,,87.0,27.0
2015-04-01,,,28.0,47.0
2015-05-01,,,53.0,52.0
2015-06-01,,,16.0,156.0
2015-07-01,,,104.0,68.0
2015-08-01,,,5.0,23.0
2015-09-01,,,3.0,153.0
2015-10-01,,,59.0,47.0
2015-11-01,,,69.0,44.0
