Date,Total_Working_Capital_Mln,Individual_Working_Capital_Mln
1997-01,4867421.0,1325060.0
1997-02,4926258.0,1346595.0
1997-03,4930799.0,1373922.0
1997-04,5004838.0,1407435.0
1997-05,5015409.0,1422304.0
1997-06,5260993.0,1462496.0
1997-07,5283849.0,1490584.0
1997-08,5424272.0,1520273.0
1997-09,5532003.0,1586024.0
1997-10,5526669.0,1622996.0
1997-11,5703127.0,1647151.0
1997-12,5841646.0,1728791.0
1998-01,6079359.0,1709114.0
1998-02,5924984.0,1709013.0
1998-03,5916104.0,1714124.0
1998-04,5857828.0,1724340.0
1998-05,5905900.0,1734143.0
1998-06,6052143.0,1782417.0
1998-07,5988620.0,1796997.0
1998-08,6012687.0,1813144.0
1998-09,6105945.0,1814645.0
1998-10,6053670.0,1818121.0
1998-11,6247185.0,1844725.0
1998-12,6273097.0,1853225.0
1999-01,6284308.0,1847868.0
1999-02,6318161.0,1832956.0
1999-03,6313773.0,1825213.0
1999-04,6336717.0,1786278.0
1999-05,6364578.0,1785949.0
1999-06,6557885.0,1807207.0
1999-07,6487544.0,1822878.0
1999-08,6465567.0,1829907.0
1999-09,6585210.0,1838410.0
1999-10,6517589.0,1803381.0
1999-11,6664551.0,1818938.0
1999-12,6805006.0,1853179.0
2000-01,6837434.0,1846690.0
2000-02,6836377.0,1847448.0
2000-03,6909984.0,1852753.0
2000-04,6928220.0,1847005.0
2000-05,6989210.0,1859504.0
2000-06,7083716.0,1865746.0
2000-07,7106797.0,1883775.0
2000-08,7050151.0,1885407.0
2000-09,7091499.0,1883237.0
2000-10,7189250.0,1891733.0
2000-11,7189261.0,1885973.0
2000-12,7287847.0,1890842.0
2001-01,7239553.0,1877412.0
2001-02,7165161.0,1844901.0
2001-03,7171755.0,1843384.0
2001-04,7097593.0,1838443.0
2001-05,7062978.0,1833751.0
2001-06,7149492.0,1843776.0
2001-07,7129842.0,1817377.0
2001-08,7028826.0,1814087.0
2001-09,7094210.0,1855054.0
2001-10,7045094.0,1838004.0
2001-11,7049852.0,1823311.0
2001-12,7318836.0,1856892.0
2002-01,7312425.0,1836731.0
2002-02,7251605.0,1808325.0
2002-03,7138551.0,1784142.0
2002-04,7164465.0,1770531.0
