Date,Value_USD_per_M_tokens,Fetched_On
2026-07-14,1.58,2026-07-21
2026-07-15,1.57,2026-07-21
2026-07-16,1.57,2026-07-21
2026-07-17,1.56,2026-07-21
2026-07-18,1.59,2026-07-21
2026-07-19,1.58,2026-07-21
2026-07-20,1.56,2026-07-22
2026-07-21,1.55,2026-07-23
2026-07-22,1.54,2026-07-24
2026-07-23,1.52,2026-07-25
2026-07-24,1.47,2026-07-26
2026-07-25,1.47,2026-07-27
2026-07-26,1.45,2026-07-28
2026-07-27,1.43,2026-07-29
2026-07-28,1.39,2026-07-30
2026-07-29,1.39,2026-07-31
2026-07-30,1.4,2026-08-01
2026-07-31,1.36,2026-08-02
2026-08-01,1.34,2026-08-03
2026-08-02,1.31,2026-08-04
2026-08-03,1.29,2026-08-05
2026-08-04,1.27,2026-08-06
2026-08-05,1.2,2026-08-07
2026-08-06,1.18,2026-08-08
2026-08-07,1.17,2026-08-09
2026-08-08,1.16,2026-08-10
2026-08-09,1.13,2026-08-11
2026-08-10,1.12,2026-08-12
2026-08-11,1.1,2026-08-13
2026-08-12,1.08,2026-08-14
2026-08-13,1.05,2026-08-15
2026-08-14,1.03,2026-08-16
2026-08-15,1.02,2026-08-17
2026-08-16,1.02,2026-08-18
2026-08-17,1.05,2026-08-19
2026-08-18,1.06,2026-08-20
2026-08-19,1.08,2026-08-21
2026-08-20,1.06,2026-08-22
