date,usdjpy_1m_iv,usdjpy_1m_rr
2023-02-16,13.015,-2.19
2023-02-17,12.835,-1.57
2023-02-20,13.175,-1.91
2023-02-21,12.52,-2.01
2023-02-22,12.765,-1.61
2023-02-23,13.0,-2.12
2023-02-24,12.18,-1.68
2023-02-27,12.175,-1.65
2023-02-28,12.13,-1.36
2023-03-01,12.215,-1.94
2023-03-02,11.88,-1.4
2023-03-03,11.83,-1.82
2023-03-06,12.285,-1.8
2023-03-07,12.405,-1.62
2023-03-08,12.85,-1.7
2023-03-09,13.39,-1.76
2023-03-10,12.79,-2.1
2023-03-13,14.085,-2.09
2023-03-14,12.99,-1.98
2023-03-15,13.995,-1.7
2023-03-16,12.655,-2.16
2023-03-17,13.0,-1.82
2023-03-20,13.495,-1.95
2023-03-21,12.95,-1.82
2023-03-22,12.02,-1.38
2023-03-23,11.955,-1.99
2023-03-24,12.365,-1.73
2023-03-27,12.055,-1.73
2023-03-28,11.8,-1.99
2023-03-29,11.695,-1.54
2023-03-30,13.265,-1.84
2023-03-31,13.02,-1.47
2023-04-03,12.875,-1.85
2023-04-04,12.695,-2.13
2023-04-05,13.02,-1.93
2023-04-06,12.775,-1.86
2023-04-07,12.53,-1.79
2023-04-10,12.86,-2.23
2023-04-11,12.1475,-2.0
2023-04-12,11.55,-1.75
2023-04-13,10.76,-1.51
2023-04-14,10.83,-1.6
2023-04-17,10.815,-1.42
2023-04-18,10.84,-1.82
2023-04-19,10.735,-1.51
2023-04-20,10.43,-1.66
2023-04-21,10.47,-1.65
2023-04-24,10.54,-1.53
2023-04-25,10.975,-1.41
2023-04-26,10.945,-1.66
2023-04-27,10.825,-1.71
2023-04-28,9.515,-1.04
2023-05-01,9.605,-1.42
2023-05-02,10.21,-1.33
2023-05-03,10.355,-1.67
2023-05-04,10.775,-1.69
2023-05-05,10.16,-1.98
2023-05-08,10.0,-1.18
2023-05-09,9.5,-1.1
2023-05-10,9.37,-1.41
2023-05-11,9.425,-1.48
2023-05-12,9.175,-1.49
2023-05-15,10.67,-1.86
2023-05-16,10.245,-1.74
2023-05-17,10.23,-1.5
2023-05-18,10.2,-1.54
2023-05-19,10.525,-1.56
2023-05-22,10.655,-1.33
2023-05-23,10.86,-1.58
2023-05-24,10.775,-1.77
2023-05-25,10.805,-1.76
2023-05-26,10.755,-2.08
2023-05-29,10.785,-1.79
2023-05-30,10.925,-1.65
2023-05-31,10.82,-1.54
2023-06-01,10.23,-1.48
2023-06-02,9.65,-1.63
2023-06-05,9.765,-1.54
2023-06-06,9.545,-1.59
2023-06-07,9.37,-1.28
2023-06-08,9.08,-1.02
2023-06-09,8.68,-1.44
2023-06-12,8.775,-1.31
2023-06-13,8.955,-1.27
2023-06-14,8.97,-1.36
2023-06-15,9.435,-1.27
2023-06-16,8.67,-1.35
2023-06-19,9.09,-1.17
2023-06-20,8.925,-1.54
2023-06-21,8.695,-1.45
2023-06-22,8.585,-0.9
2023-06-23,9.005,-1.29
2023-06-26,9.205,-1.17
2023-06-27,9.52,-1.4
2023-06-28,9.735,-1.51
2023-06-29,10.78,-1.59
2023-06-30,10.695,-2.05
2023-07-03,10.535,-1.68
2023-07-04,10.215,-1.61
2023-07-05,10.155,-1.58
2023-07-06,10.125,-1.75
2023-07-07,10.28,-1.59
2023-07-10,10.885,-1.85
2023-07-11,11.295,-1.78
2023-07-12,11.2,-1.6
2023-07-13,10.705,-1.31
2023-07-14,10.8725,-1.56
2023-07-17,11.07,-1.4
2023-07-18,10.965,-1.6
2023-07-19,11.59,-1.6
2023-07-20,11.325,-1.5
2023-07-21,10.945,-1.86
2023-07-24,11.05,-1.48
2023-07-25,11.045,-1.66
2023-07-26,11.515,-2.01
2023-07-27,12.175,-1.53
2023-07-28,9.755,-1.45
2023-07-31,9.92,-1.73
2023-08-01,9.86,-1.51
2023-08-02,10.06,-1.31
2023-08-03,10.08,-0.81
2023-08-04,9.63,-1.39
2023-08-07,9.585,-1.0
2023-08-08,9.5125,-1.42
2023-08-09,9.085,-1.26
2023-08-10,8.82,-1.41
2023-08-11,8.815,-1.54
2023-08-14,9.24,-1.31
2023-08-15,9.345,-1.34
2023-08-16,9.395,-1.45
2023-08-17,9.255,-1.32
2023-08-18,9.255,-1.27
2023-08-21,9.37,-1.56
2023-08-22,9.11,-1.5
